age,gender,province,education,n
24,Male,Newfoundland and Labrador,"Bachelor degree (e.g. B.A., B.Sc., LL.B.)",2
24,Male,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma",1
24,Male,Newfoundland and Labrador,High school diploma or a high school equivalency certificate,1
24,Male,Newfoundland and Labrador,Less than high school diploma or its equivalent,1
24,Male,Nova Scotia,"Bachelor degree (e.g. B.A., B.Sc., LL.B.)",1
24,Male,Nova Scotia,"College, CEGEP or other non-university certificate or diploma",2
24,Male,Ontario,"Bachelor degree (e.g. B.A., B.Sc., LL.B.)",5
24,Male,Ontario,"College, CEGEP or other non-university certificate or diploma",5
24,Male,Ontario,High school diploma or a high school equivalency certificate,6
24,Male,Prince Edward Island,"College, CEGEP or other non-university certificate or diploma",1
24,Male,Prince Edward Island,High school diploma or a high school equivalency certificate,2
24,Male,Quebec,"Bachelor degree (e.g. B.A., B.Sc., LL.B.)",4
24,Male,Quebec,"College, CEGEP or other non-university certificate or diploma",8
24,Male,Quebec,High school diploma or a high school equivalency certificate,2
24,Male,Quebec,Less than high school diploma or its equivalent,2
24,Male,Saskatchewan,"Bachelor degree (e.g. B.A., B.Sc., LL.B.)",1
24,Male,Saskatchewan,"College, CEGEP or other non-university certificate or diploma",1
24,Male,Saskatchewan,High school diploma or a high school equivalency certificate,5
24,Male,Saskatchewan,Less than high school diploma or its equivalent,1
25,Female,Alberta,"Bachelor degree (e.g. B.A., B.Sc., LL.B.)",2
25,Female,Alberta,"College, CEGEP or other non-university certificate or diploma",4
25,Female,Alberta,High school diploma or a high school equivalency certificate,4
25,Female,Alberta,Less than high school diploma or its equivalent,1
25,Female,Alberta,University certificate or diploma below the bachelor level,1
25,Female,British Columbia,"Bachelor degree (e.g. B.A., B.Sc., LL.B.)",4
25,Female,British Columbia,"College, CEGEP or other non-university certificate or diploma",4
25,Female,British Columbia,High school diploma or a high school equivalency certificate,3
25,Female,Manitoba,"Bachelor degree (e.g. B.A., B.Sc., LL.B.)",2
25,Female,Manitoba,"College, CEGEP or other non-university certificate or diploma",2
25,Female,Manitoba,High school diploma or a high school equivalency certificate,1
25,Female,New Brunswick,"Bachelor degree (e.g. B.A., B.Sc., LL.B.)",1
25,Female,New Brunswick,"College, CEGEP or other non-university certificate or diploma",1
25,Female,New Brunswick,"University certificate, diploma or degree above the bachelor level",2
25,Female,Newfoundland and Labrador,"Bachelor degree (e.g. B.A., B.Sc., LL.B.)",1
25,Female,Newfoundland and Labrador,High school diploma or a high school equivalency certificate,1
25,Female,Nova Scotia,"Bachelor degree (e.g. B.A., B.Sc., LL.B.)",1
25,Female,Nova Scotia,"College, CEGEP or other non-university certificate or diploma",2
25,Female,Nova Scotia,Less than high school diploma or its equivalent,1
25,Female,Ontario,"Bachelor degree (e.g. B.A., B.Sc., LL.B.)",11
25,Female,Ontario,"College, CEGEP or other non-university certificate or diploma",9
25,Female,Ontario,High school diploma or a high school equivalency certificate,3
25,Female,Ontario,Less than high school diploma or its equivalent,1
25,Female,Ontario,"University certificate, diploma or degree above the bachelor level",3
25,Female,Prince Edward Island,"College, CEGEP or other non-university certificate or diploma",2
25,Female,Quebec,"Bachelor degree (e.g. B.A., B.Sc., LL.B.)",9
25,Female,Quebec,"College, CEGEP or other non-university certificate or diploma",11
25,Female,Quebec,High school diploma or a high school equivalency certificate,4
25,Female,Quebec,Less than high school diploma or its equivalent,1
25,Female,Quebec,University certificate or diploma below the bachelor level,2
25,Female,Saskatchewan,"Bachelor degree (e.g. B.A., B.Sc., LL.B.)",3
25,Female,Saskatchewan,"College, CEGEP or other non-university certificate or diploma",1
25,Female,Saskatchewan,High school diploma or a high school equivalency certificate,4
25,Male,Alberta,"Bachelor degree (e.g. B.A., B.Sc., LL.B.)",3
25,Male,Alberta,"College, CEGEP or other non-university certificate or diploma",2
25,Male,Alberta,High school diploma or a high school equivalency certificate,3
25,Male,Alberta,Less than high school diploma or its equivalent,2
25,Male,British Columbia,"Bachelor degree (e.g. B.A., B.Sc., LL.B.)",4
25,Male,British Columbia,"College, CEGEP or other non-university certificate or diploma",3
25,Male,British Columbia,High school diploma or a high school equivalency certificate,1
25,Male,British Columbia,University certificate or diploma below the bachelor level,1
25,Male,Manitoba,"Bachelor degree (e.g. B.A., B.Sc., LL.B.)",3
25,Male,Manitoba,"College, CEGEP or other non-university certificate or diploma",5
25,Male,Manitoba,High school diploma or a high school equivalency certificate,1
25,Male,New Brunswick,"College, CEGEP or other non-university certificate or diploma",2
25,Male,Newfoundland and Labrador,"Bachelor degree (e.g. B.A., B.Sc., LL.B.)",2
25,Male,Newfoundland and Labrador,High school diploma or a high school equivalency certificate,2
25,Male,Newfoundland and Labrador,Less than high school diploma or its equivalent,1
25,Male,Nova Scotia,"Bachelor degree (e.g. B.A., B.Sc., LL.B.)",3
25,Male,Nova Scotia,"College, CEGEP or other non-university certificate or diploma",3
25,Male,Nova Scotia,High school diploma or a high school equivalency certificate,6
25,Male,Nova Scotia,"University certificate, diploma or degree above the bachelor level",1
25,Male,Ontario,"Bachelor degree (e.g. B.A., B.Sc., LL.B.)",6
25,Male,Ontario,"College, CEGEP or other non-university certificate or diploma",8
25,Male,Ontario,High school diploma or a high school equivalency certificate,6
25,Male,Ontario,Less than high school diploma or its equivalent,1
25,Male,Ontario,"University certificate, diploma or degree above the bachelor level",6
25,Male,Prince Edward Island,"College, CEGEP or other non-university certificate or diploma",2
25,Male,Prince Edward Island,High school diploma or a high school equivalency certificate,2
25,Male,Quebec,"Bachelor degree (e.g. B.A., B.Sc., LL.B.)",2
25,Male,Quebec,"College, CEGEP or other non-university certificate or diploma",5
25,Male,Quebec,High school diploma or a high school equivalency certificate,2
25,Male,Quebec,Less than high school diploma or its equivalent,6
25,Male,Quebec,"University certificate, diploma or degree above the bachelor level",1
